Row,Truth,Validation,Naive Prob Calabria,Naive Prob Coastal-Sardinia,Naive Prob East-Liguria,Naive Prob Inland-Sardinia,Naive Prob North-Apulia,Naive Prob Sicily,Naive Prob South-Apulia,Naive Prob Umbria,Naive Prob West-Liguria
45,Calabria,Training,0.9923043711,2.365513e-52,4.8611907e-7,3.155817e-52,5.807425e-13,0.007695137,5.7786665e-9,1.13378e-218,1.542516e-28
46,Calabria,Training,0.9962434546,2.101721e-40,2.2461755e-7,1.48866e-27,1.997757e-15,0.0037309344,0.0000253863,1.57763e-227,3.852315e-31
47,Calabria,Validation,0.979449397,1.081614e-42,0.0000525759,7.193281e-34,7.45705e-13,0.0204967938,1.2332832e-6,2.14595e-179,1.170618e-32
48,Calabria,Training,0.9651324827,2.615627e-26,2.910448e-13,1.423561e-24,1.040889e-23,0.0303903298,0.0044771875,0,1.356623e-32
49,Calabria,Training,0.9611666471,1.290993e-28,1.1306317e-9,4.669447e-25,1.913635e-16,0.0388323835,9.6831429e-7,7.33301e-317,3.895039e-31
50,Calabria,Validation,0.9302568225,7.996977e-54,7.970406e-14,2.653552e-67,2.193635e-20,0.0697431769,6.008669e-10,1.69278e-302,6.467717e-27
51,Calabria,Training,0.9567724149,3.835766e-48,0.0032762365,1.049588e-43,3.4031904e-8,0.0399512896,2.5054538e-8,7.74137e-153,6.609094e-31
52,Calabria,Training,0.9762907434,2.638969e-46,1.4678764e-8,2.098546e-48,2.824284e-14,0.0237092381,3.7982849e-9,2.5206e-244,3.342505e-32
53,Calabria,Training,0.9734857958,8.591654e-32,5.297119e-9,2.761311e-28,7.285411e-17,0.0265076865,6.5124123e-6,1.36942e-294,7.32285e-33
54,Calabria,Training,0.9527049311,2.635187e-50,7.9706269e-8,2.741397e-55,5.297658e-13,0.0472949889,2.420146e-10,1.46186e-207,1.820628e-24
55,Calabria,Validation,0.9604298194,7.139221e-42,2.5150873e-6,2.527355e-38,1.035129e-13,0.0395676536,1.1946193e-8,6.03843e-196,1.120154e-26
56,Calabria,Validation,0.9872067527,1.015829e-40,4.942968e-10,1.354912e-39,2.011509e-17,0.0127440985,0.0000491483,1.72473e-315,3.955744e-28
57,Calabria,Training,0.2826056255,5.91093e-66,0.0002248789,4.289516e-77,3.923653e-18,0.717169449,4.6562409e-8,1.234239e-76,1.413651e-17
58,Calabria,Validation,0.9880259256,2.846173e-47,2.827274e-10,3.421599e-32,1.042858e-24,0.0119104298,0.0000636444,9.88613e-213,6.810748e-38
59,Calabria,Training,0.0919407307,2.816539e-59,0.7914991877,6.504598e-68,7.861024e-13,0.116558302,1.7796706e-6,4.159184e-51,1.333122e-12
60,Calabria,Training,0.2252553458,1.045293e-65,0.4041171705,9.64873e-75,1.196826e-12,0.3706262515,1.2321975e-6,1.660071e-49,1.87329e-15
61,Calabria,Training,0.2821751223,1.021271e-34,1.53792e-18,5.133351e-27,3.076451e-36,0.0497932948,0.6680315829,0,1.496696e-33
62,Calabria,Validation,0.0317188766,2.416605e-68,0.000106495,1.898102e-70,5.073537e-19,0.9681744582,1.701559e-7,4.371796e-48,4.580607e-25
63,Calabria,Training,0.3529291305,8.482767e-83,3.549834e-16,2.697226e-84,5.591252e-38,0.6470531471,0.0000177223,2.15848e-199,4.678416e-39
64,Calabria,Validation,0.9868444843,1.197133e-53,5.233497e-11,2.180692e-52,3.698173e-21,0.0130945255,0.0000609902,1.65432e-291,1.80316e-30
65,Calabria,Validation,0.9935542113,2.071303e-36,3.093314e-10,1.951386e-28,7.821615e-20,0.0063939779,0.0000518105,3.26383e-300,4.626152e-35
66,Calabria,Training,0.975792821,3.132719e-58,1.4444071e-7,4.580213e-57,5.791637e-16,0.0242061204,9.1416523e-7,2.5159e-211,1.423741e-33
67,Calabria,Validation,0.9926283402,3.900214e-34,2.5228776e-8,1.073598e-27,3.161333e-16,0.0071194851,0.0002521495,2.02771e-279,1.060559e-25
68,Calabria,Training,0.8941441601,7.888512e-45,4.149869e-16,6.526736e-41,4.588536e-30,0.087461249,0.0183945909,0,3.820514e-39
69,Calabria,Validation,0.98493337,4.545875e-42,1.384996e-10,5.65052e-38,4.886215e-19,0.0143238321,0.0007427978,3.04877e-314,7.179877e-30
70,Calabria,Training,0.2350766573,7.431998e-38,5.053138e-22,1.710001e-48,6.541504e-37,0.1210387901,0.6438845526,0,1.776053e-31
71,Calabria,Training,0.9506513145,8.671743e-53,5.260637e-14,2.669358e-58,4.426213e-23,0.0493460762,2.6093408e-6,0,3.566025e-37
72,Calabria,Training,0.9850664615,7.693744e-56,6.878364e-15,1.493105e-56,2.455492e-28,0.0149317528,1.785761e-6,0,9.495984e-42
73,Calabria,Training,0.9803926971,4.844812e-55,1.4945676e-9,1.502571e-55,1.132854e-17,0.0196066671,6.3430554e-7,4.6522e-264,2.728835e-35
74,Calabria,Validation,0.9971432367,4.435253e-53,0.0001383036,9.013189e-44,2.062664e-10,0.0027184538,5.6303957e-9,1.19195e-178,1.110363e-36
75,Calabria,Validation,0.9974823046,4.762663e-49,1.1552737e-7,9.379937e-41,7.668927e-20,0.0025131449,4.4349496e-6,1.11614e-198,1.11611e-27
76,Calabria,Training,0.9941339465,1.498687e-39,4.9112411e-6,7.140538e-35,1.743654e-14,0.0058585022,2.6400753e-6,1.71544e-233,1.674706e-21
77,Calabria,Validation,0.9661604899,2.02469e-45,8.106913e-16,1.807343e-48,9.899869e-33,0.0335593617,0.0002801484,8.8546e-315,4.382335e-27
78,Calabria,Validation,0.8867679695,8.25683e-58,0.0751739472,3.969241e-53,1.2080763e-6,0.0380568745,6.719287e-10,9.07411e-116,7.457553e-35
79,Calabria,Training,0.9999959827,9.024733e-60,3.3360289e-8,9.422619e-42,2.064603e-15,3.983933e-6,2.344749e-11,0,4.294685e-55
80,Calabria,Training,0.9967759786,4.968776e-41,6.8216456e-9,5.836105e-27,2.163292e-20,0.0032188232,5.1914197e-6,6.30152e-245,3.235142e-37
81,Calabria,Training,0.9931100794,6.356194e-37,0.000089554,1.796354e-23,5.704254e-11,0.0067895745,0.0000107921,1.58859e-201,8.131564e-27
82,South-Apulia,Training,1.0979161e-7,5.344924e-42,1.432019e-32,7.750561e-44,2.204496e-56,2.0206555e-6,0.9999978696,0,1.873286e-27
83,South-Apulia,Training,0.0002198393,3.96813e-43,8.882704e-23,2.398657e-31,1.919861e-50,0.0000911122,0.9996890485,0,1.167516e-18
84,South-Apulia,Validation,1.8940928e-9,4.259393e-34,1.839784e-39,6.614308e-50,1.312671e-69,2.4917081e-7,0.9999997489,0,3.27644e-29
85,South-Apulia,Training,1.378001e-6,1.301099e-43,8.638829e-30,2.843326e-39,6.558069e-59,3.0516072e-6,0.9999955704,0,3.293399e-23
86,South-Apulia,Training,0.0001206318,1.452667e-32,7.911991e-27,9.152434e-32,3.588613e-48,0.0002690085,0.9996103597,0,7.04596e-32
87,South-Apulia,Training,4.936215e-10,3.601132e-31,6.472696e-45,1.318114e-63,4.955399e-67,0.0000324501,0.9999675495,0,6.086724e-47
88,South-Apulia,Training,2.835079e-13,1.040006e-48,2.312224e-63,1.48256e-101,4.05384e-100,0.0001585887,0.9998414113,0,2.68998e-49
89,South-Apulia,Training,6.984277e-14,1.046758e-56,2.401066e-62,1.65559e-118,1.072619e-89,0.0002149005,0.9997850995,0,8.697682e-59
90,South-Apulia,Training,0.0001244677,1.671794e-31,6.937347e-33,3.56388e-36,4.007449e-59,0.0027059036,0.9971696286,0,2.489461e-36
91,South-Apulia,Training,0.0000943955,3.943333e-29,1.323027e-29,1.095146e-23,2.735174e-54,0.0010394286,0.9988661759,0,1.834344e-34
92,South-Apulia,Training,1.984177e-10,2.785396e-24,5.535318e-48,2.844236e-58,9.833529e-72,0.0001159601,0.9998840397,0,6.126973e-49
93,South-Apulia,Training,6.100448e-14,8.09846e-40,5.880829e-57,1.587821e-92,3.18305e-78,2.3796707e-6,0.9999976203,0,1.714521e-49
94,South-Apulia,Validation,1.572043e-10,5.145197e-33,1.344058e-47,3.831504e-63,1.497342e-70,6.7151295e-6,0.9999932847,0,2.234186e-44
95,South-Apulia,Training,8.081797e-11,4.527958e-33,1.412103e-46,9.608443e-61,1.054699e-71,1.6808129e-6,0.9999983191,0,2.319113e-40
96,South-Apulia,Training,4.400173e-10,2.110488e-35,3.12828e-45,3.016193e-49,6.873486e-75,1.8975793e-6,0.999998102,0,6.485112e-37
97,South-Apulia,Validation,1.3827402e-9,9.327692e-43,1.254864e-42,2.361028e-61,1.317442e-61,9.2249952e-6,0.9999907736,0,2.603755e-40
98,South-Apulia,Training,9.053764e-11,7.705081e-14,6.151128e-40,7.828362e-48,1.507945e-58,1.6539167e-7,0.9999998345,0,6.005433e-29
99,South-Apulia,Validation,1.2288423e-9,4.141635e-21,1.627797e-44,5.570761e-54,3.760561e-62,0.0000965991,0.9999033997,0,3.513495e-45
100,South-Apulia,Training,4.5460708e-8,3.489831e-14,2.693135e-34,1.876488e-28,1.026596e-52,5.2655075e-6,0.999994689,0,8.04454e-29
101,South-Apulia,Training,2.8316658e-8,3.061882e-27,5.143515e-34,8.138976e-35,1.240606e-55,8.5331848e-7,0.9999991184,0,1.713313e-27
102,South-Apulia,Training,3.943116e-6,2.494453e-27,7.241654e-25,4.709799e-30,4.675943e-45,1.765212e-6,0.9999942917,0,7.596669e-21
103,South-Apulia,Training,3.479858e-10,2.806566e-20,1.160394e-44,1.249342e-56,2.867719e-64,0.0000297404,0.9999702593,0,1.476533e-44
104,South-Apulia,Training,3.8873749e-9,9.745013e-12,4.108635e-35,6.842161e-33,6.733911e-53,7.6997826e-7,0.9999992261,0,2.294213e-26
105,South-Apulia,Training,1.7235551e-9,1.589725e-21,5.18881e-42,8.801862e-54,2.146312e-59,9.3819278e-6,0.9999906163,0,1.187154e-39
106,South-Apulia,Training,0.0000130395,5.544938e-34,1.444557e-35,1.982969e-51,1.041976e-56,0.0020123961,0.9979745644,0,6.714364e-46
107,South-Apulia,Training,6.2572646e-8,6.513737e-32,2.015426e-36,2.962208e-40,4.592544e-59,4.4978657e-6,0.9999954396,0,4.293465e-33
108,South-Apulia,Training,1.0145709e-9,1.264706e-17,2.152381e-36,3.301838e-33,1.118293e-56,3.9198277e-7,0.999999607,0,1.430567e-25
109,South-Apulia,Validation,2.0407385e-6,5.838427e-25,1.774511e-31,1.208e-29,3.346999e-49,0.0000234419,0.9999745173,0,3.179336e-30
110,South-Apulia,Training,1.813323e-10,2.582236e-23,1.405728e-41,3.667793e-48,2.70182e-62,3.2575007e-7,0.9999996741,0,6.870776e-32
111,South-Apulia,Training,5.072772e-10,1.243386e-18,4.77727e-40,5.036981e-38,2.73039e-61,5.3825275e-7,0.9999994612,0,1.730647e-28
112,South-Apulia,Training,5.494303e-10,2.087305e-25,7.432738e-43,1.85025e-48,5.680419e-65,0.0000016158,0.9999983837,0,8.4645e-36
113,South-Apulia,Training,8.456868e-8,6.329303e-15,3.0454e-35,3.335988e-34,1.354929e-50,0.0000321101,0.9999678053,0,2.896429e-33
114,South-Apulia,Validation,1.1918916e-8,1.380286e-36,1.519523e-41,6.266231e-60,1.368721e-60,0.0001123385,0.9998876496,0,5.211854e-48
115,South-Apulia,Training,4.806847e-11,1.768499e-21,1.317931e-35,1.930446e-30,2.129505e-61,1.6469969e-8,0.9999999835,0,1.024429e-20
116,South-Apulia,Training,2.254194e-10,6.156477e-20,5.883853e-43,4.194928e-53,9.409348e-61,2.7302466e-6,0.9999972695,0,1.441811e-37
117,South-Apulia,Training,2.9833838e-9,7.627372e-24,2.826188e-43,1.367821e-47,3.785549e-66,0.0001978666,0.9998021304,0,3.565497e-48
118,South-Apulia,Training,0.0000990252,1.385482e-30,4.640409e-29,1.01014e-36,2.067463e-48,0.0002286301,0.9996723446,0,6.634562e-35
119,South-Apulia,Validation,1.2152197e-7,1.361512e-10,1.02892e-29,7.831921e-17,5.1025e-46,0.0000182458,0.9999816325,0,2.136298e-20
120,South-Apulia,Validation,7.87145e-8,1.315461e-24,2.28514e-39,2.12111e-50,1.214058e-54,0.000071575,0.9999283463,0,2.355013e-43
121,South-Apulia,Training,0.3161254168,2.758803e-45,2.529893e-18,2.527476e-37,4.639335e-42,0.0477592762,0.636115307,3.12383e-289,9.250019e-25
122,South-Apulia,Training,4.2953003e-7,1.292311e-16,1.149996e-32,5.853252e-32,2.105454e-49,0.0000241826,0.9999753878,0,2.113989e-32
123,South-Apulia,Training,4.1330129e-7,1.852763e-20,9.74695e-37,2.523647e-36,1.138603e-57,0.0023515511,0.9976480356,0,7.011134e-47
124,South-Apulia,Training,4.3138334e-6,1.134579e-15,5.089753e-31,1.11792e-19,3.976798e-49,0.0012275712,0.998768115,0,1.345773e-35
125,South-Apulia,Training,7.4197207e-8,1.957385e-14,1.060669e-35,5.42825e-34,3.258058e-51,0.000034131,0.9999657948,0,1.075128e-33
126,South-Apulia,Training,1.9824265e-7,4.507183e-15,1.506148e-33,1.352288e-23,1.271356e-51,0.0000444124,0.9999553894,0,2.264875e-28
127,South-Apulia,Validation,1.8703719e-7,4.448096e-18,3.307667e-35,3.5398e-37,7.910561e-52,0.0000297803,0.9999700326,0,9.887369e-36
128,South-Apulia,Training,1.9879231e-8,2.270957e-14,6.446295e-35,1.605034e-24,2.94384e-54,0.0000168934,0.9999830867,0,1.890653e-27
129,South-Apulia,Training,4.0661468e-9,3.061506e-24,3.003062e-37,3.903508e-34,1.719181e-60,9.7636893e-7,0.9999990196,0,1.094721e-28
130,South-Apulia,Training,7.3657726e-8,9.379464e-16,7.356645e-31,2.472711e-20,2.160091e-51,1.0456843e-6,0.9999988807,0,5.210047e-21
131,South-Apulia,Validation,3.8160416e-7,5.222618e-15,2.6724e-30,1.101423e-16,1.773035e-51,0.0000448868,0.9999547316,0,5.072447e-26
132,South-Apulia,Validation,2.6331564e-8,2.074384e-17,2.048115e-36,1.823547e-27,1.283648e-58,0.0000116665,0.9999883072,0,1.216075e-30
133,South-Apulia,Training,5.7481793e-7,5.063305e-22,2.642357e-36,1.743185e-36,1.052842e-57,0.0008783874,0.9991210378,0,4.122748e-45
134,South-Apulia,Training,2.6895273e-7,1.957417e-27,6.950893e-37,1.226851e-35,3.395783e-58,0.0000555103,0.9999442207,0,2.583748e-37
135,South-Apulia,Training,0.0002294172,7.958494e-20,4.156986e-24,8.854968e-22,1.920534e-40,0.0001187898,0.999651793,0,4.539201e-27
136,South-Apulia,Validation,6.670673e-14,4.257035e-49,9.436917e-56,1.858836e-84,1.759141e-82,5.0353452e-7,0.9999994965,0,7.383878e-45
137,South-Apulia,Training,5.7006106e-8,1.400988e-42,1.1513e-37,2.419689e-45,7.544499e-65,6.3234303e-6,0.9999936196,0,6.77635e-33
138,South-Apulia,Validation,4.3838993e-7,2.53334e-36,3.20233e-40,2.124671e-46,5.499662e-68,0.0003104462,0.9996891154,0,1.236217e-43
139,South-Apulia,Validation,0.2308977242,4.04871e-37,4.12895e-22,8.64937e-34,5.392923e-44,0.0570450163,0.7120572595,0,1.155691e-31
140,South-Apulia,Training,3.9302093e-9,3.592322e-39,9.957854e-50,9.699379e-89,1.292607e-71,0.0011392129,0.9988607832,0,1.176888e-57
141,South-Apulia,Training,0.0000249839,1.407278e-19,1.602737e-29,4.515316e-30,3.315411e-47,0.0043708122,0.9956042039,0,3.737254e-44
142,South-Apulia,Training,0.000004157,4.137897e-23,6.221861e-35,4.610365e-43,1.8696e-53,0.0032302103,0.9967656327,0,4.047887e-49
143,South-Apulia,Training,8.244023e-12,3.727984e-35,1.56235e-50,1.368876e-67,1.644075e-77,1.480518e-6,0.9999985195,0,9.929967e-43
144,South-Apulia,Training,2.688683e-6,1.316859e-22,2.555539e-33,3.124557e-35,2.81902e-53,0.0001181448,0.9998791666,0,6.519579e-37
145,South-Apulia,Training,0.0000311547,8.887146e-35,3.552265e-29,5.566956e-33,7.591405e-52,0.0000765608,0.9998922845,0,2.239218e-30
146,South-Apulia,Validation,1.046614e-10,3.514946e-39,5.018192e-46,1.653642e-56,1.500055e-74,9.9188751e-7,0.999999008,0,9.209252e-38
147,South-Apulia,Training,3.37289e-12,2.909478e-41,3.605878e-53,3.52194e-77,1.684384e-82,3.1669953e-6,0.999996833,0,3.956363e-45
148,South-Apulia,Training,0.0000790092,8.99304e-36,7.216052e-35,8.115694e-44,4.244217e-57,0.0043426621,0.9955783287,0,5.837761e-54
149,South-Apulia,Training,1.199948e-10,5.369949e-33,8.624067e-46,3.026443e-53,1.108116e-73,8.3092506e-7,0.999999169,0,1.285964e-36
150,South-Apulia,Validation,0.0007712876,1.161677e-21,1.148509e-25,1.856391e-26,6.312435e-42,0.000694168,0.9985345444,0,5.872933e-33
151,South-Apulia,Validation,1.015668e-12,8.81586e-40,5.333095e-54,7.552701e-74,2.72244e-83,9.6112709e-7,0.9999990389,0,1.012856e-43
152,South-Apulia,Training,1.4104887e-8,9.398814e-34,1.253588e-44,3.880865e-47,4.283628e-74,0.0000859546,0.9999140313,0,4.603897e-44
153,South-Apulia,Training,7.6402301e-7,2.917095e-40,9.911479e-39,1.734712e-47,4.021379e-65,0.0003949724,0.9996042636,0,2.609893e-44
154,South-Apulia,Training,2.790589e-13,3.229401e-44,1.438742e-60,7.020468e-93,1.754013e-90,0.0000543415,0.9999456585,0,1.579363e-58
155,South-Apulia,Validation,2.7638593e-9,6.731651e-43,1.602799e-47,4.337624e-92,1.386138e-64,0.0004097938,0.9995902034,0,3.317026e-57
156,South-Apulia,Training,3.426305e-11,1.733158e-42,5.362582e-49,1.087236e-71,1.467863e-75,3.2858231e-6,0.9999967141,0,3.8426e-43
157,South-Apulia,Training,4.503201e-11,1.34756e-41,5.634567e-51,4.314446e-77,2.166651e-79,0.0000155467,0.9999844532,0,2.055e-44
158,South-Apulia,Validation,6.0988e-15,1.197948e-48,2.646846e-63,5.77294e-116,4.123411e-90,0.0000110555,0.9999889445,0,2.121177e-55
159,South-Apulia,Validation,2.261432e-17,6.56455e-65,8.740825e-72,2.41588e-135,3.05483e-100,0.0000537767,0.9999462233,0,3.172581e-68
160,South-Apulia,Training,4.545762e-12,4.647081e-47,4.284987e-51,4.983982e-91,5.607024e-74,0.0000115784,0.9999884216,0,4.649789e-46
161,South-Apulia,Validation,1.447795e-13,8.78313e-53,2.732086e-61,3.547976e-85,2.141525e-94,5.3587273e-6,0.9999946413,0,1.472796e-52
162,South-Apulia,Validation,0.0015076173,8.921747e-13,1.382567e-23,2.117762e-26,2.099989e-34,0.0029734942,0.9955188885,0,4.420002e-30
163,South-Apulia,Validation,9.913302e-14,5.742123e-35,9.852247e-59,1.63391e-117,1.286918e-76,0.0001476221,0.9998523779,0,2.944412e-55
164,South-Apulia,Training,3.0257207e-9,1.888506e-38,3.593768e-44,3.220679e-66,1.970574e-63,0.0000483647,0.9999516323,0,4.492226e-48
165,South-Apulia,Training,1.580872e-6,2.108247e-15,4.689981e-31,3.136935e-35,1.315805e-44,0.0000550434,0.9999433757,0,3.612219e-33
166,South-Apulia,Training,2.008797e-6,7.482167e-22,2.320969e-35,4.042047e-50,1.347345e-50,0.0005721429,0.9994258483,0,3.621425e-42
167,South-Apulia,Training,1.356789e-12,1.123459e-40,6.100538e-55,4.20811e-103,3.791065e-78,0.0000355447,0.9999644553,0,3.044092e-45
168,South-Apulia,Validation,3.24519e-11,2.632805e-37,5.85385e-51,5.921883e-89,1.039e-70,0.0000990724,0.9999009276,0,2.387081e-52
169,South-Apulia,Training,1.0033389e-6,7.040194e-10,2.939969e-29,3.906868e-27,1.058698e-42,0.0000199718,0.9999790242,0,3.299876e-28
170,South-Apulia,Validation,1.0835281e-8,6.931443e-35,2.226557e-41,6.401319e-55,5.450609e-62,0.0000102343,0.9999897549,0,4.620102e-42
171,South-Apulia,Training,0.0000469873,3.5209e-35,1.108512e-27,9.323499e-33,5.930422e-48,0.000069799,0.9998832137,0,2.442004e-29
172,South-Apulia,Training,6.427913e-11,7.006814e-35,2.75492e-44,4.173795e-53,4.476363e-70,2.5404121e-7,0.9999997459,0,5.828211e-34
173,South-Apulia,Training,6.577096e-13,3.238541e-54,7.160515e-54,1.035724e-92,3.00197e-77,0.0000112904,0.9999887096,0,6.942082e-51
174,South-Apulia,Training,0.0000151906,4.173337e-16,2.575981e-29,1.293771e-28,2.168577e-46,0.000134554,0.9998502554,0,3.487167e-31
175,South-Apulia,Validation,0.0021261291,1.885663e-23,2.497687e-25,8.254869e-30,1.322415e-41,0.0038672339,0.994006637,0,7.974033e-37
